code,description,last_updated
A187,Tuberculosis of adrenal glands,2025-09-12
A188,Tuberculosis of other specified organs,2025-09-12
A19,,2025-09-12
A190,Acute miliary tuberculosis of a single specified site,2025-09-12
A191,Acute miliary tuberculosis of multiple sites,2025-09-12
A192,"Acute miliary tuberculosis, unspecified",2025-09-12
A198,Other miliary tuberculosis,2025-09-12
A199,"Miliary tuberculosis, unspecified",2025-09-12
A20,,2025-09-12
A200,Bubonic plague,2025-09-12
A201,Cellulocutaneous plague,2025-09-12
A202,Pneumonic plague,2025-09-12
A203,Plague meningitis,2025-09-12
A207,Septicaemic plague,2025-09-12
A208,Other forms of plague,2025-09-12
A209,"Plague, unspecified",2025-09-12
A21,,2025-09-12
A210,Ulceroglandular tularaemia,2025-09-12
A211,Oculoglandular tularaemia,2025-09-12
A212,Pulmonary tularaemia,2025-09-12
A213,Gastrointestinal tularaemia,2025-09-12
A217,Generalized tularaemia,2025-09-12
A218,Other forms of tularaemia,2025-09-12
A219,"Tularaemia, unspecified",2025-09-12
A22,,2025-09-12
A220,Cutaneous anthrax,2025-09-12
A221,Pulmonary anthrax,2025-09-12
A222,Gastrointestinal anthrax,2025-09-12
A227,Anthrax sepsis,2025-09-12
A228,Other forms of anthrax,2025-09-12
A229,"Anthrax, unspecified",2025-09-12
A23,,2025-09-12
A230,Brucellosis due to Brucella melitensis,2025-09-12
A231,Brucellosis due to Brucella abortus,2025-09-12
A232,Brucellosis due to Brucella suis,2025-09-12
A233,Brucellosis due to Brucella canis,2025-09-12
A238,Other brucellosis,2025-09-12
A239,"Brucellosis, unspecified",2025-09-12
A24,,2025-09-12
A240,Glanders,2025-09-12
A241,Acute and fulminating melioidosis,2025-09-12
A242,Subacute and chronic melioidosis,2025-09-12
A243,Other melioidosis,2025-09-12
A244,"Melioidosis, unspecified",2025-09-12
A25,,2025-09-12
A250,Spirillosis,2025-09-12
A251,Streptobacillosis,2025-09-12
A259,"Rat-bite fever, unspecified",2025-09-12
A26,,2025-09-12
A260,Cutaneous erysipeloid,2025-09-12
A267,Erysipelothrix sepsis,2025-09-12
A268,Other forms of erysipeloid,2025-09-12
A269,"Erysipeloid, unspecified",2025-09-12
A27,,2025-09-12
A270,Leptospirosis icterohaemorrhagica,2025-09-12
A278,Other forms of leptospirosis,2025-09-12
A279,"Leptospirosis, unspecified",2025-09-12
A28,,2025-09-12
A280,Pasteurellosis,2025-09-12
A281,Cat-scratch disease,2025-09-12
A282,Extraintestinal yersiniosis,2025-09-12
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",2025-09-12
A289,"Zoonotic bacterial disease, unspecified",2025-09-12
A30,,2025-09-12
A300,Indeterminate leprosy,2025-09-12
A301,Tuberculoid leprosy,2025-09-12
A302,Borderline tuberculoid leprosy,2025-09-12
A303,Borderline leprosy,2025-09-12
A304,Borderline lepromatous leprosy,2025-09-12
A305,Lepromatous leprosy,2025-09-12
A308,Other forms of leprosy,2025-09-12
A309,"Leprosy, unspecified",2025-09-12
A31,,2025-09-12
A310,Pulmonary mycobacterial infection,2025-09-12
A311,Cutaneous mycobacterial infection,2025-09-12
A318,Other mycobacterial infections,2025-09-12
A319,"Mycobacterial infection, unspecified",2025-09-12
A32,,2025-09-12
A320,Cutaneous listeriosis,2025-09-12
A321,Listerial meningitis and meningoencephalitis,2025-09-12
A327,Listerial sepsis,2025-09-12
A328,Other forms of listeriosis,2025-09-12
A329,"Listeriosis, unspecified",2025-09-12
A33,,2025-09-12
A34,,2025-09-12
A35,,2025-09-12
A36,,2025-09-12
A360,Pharyngeal diphtheria,2025-09-12
A361,Nasopharyngeal diphtheria,2025-09-12
A362,Laryngeal diphtheria,2025-09-12
A363,Cutaneous diphtheria,2025-09-12
A368,Other diphtheria,2025-09-12
A369,"Diphtheria, unspecified",2025-09-12
A37,,2025-09-12
A370,Whooping cough due to Bordetella pertussis,2025-09-12
A371,Whooping cough due to Bordetella parapertussis,2025-09-12
A378,Whooping cough due to other Bordetella species,2025-09-12
A379,"Whooping cough, unspecified",2025-09-12
A38,,2025-09-12
A39,,2025-09-12
A390,Meningococcal meningitis,2025-09-12
A391,Waterhouse-Friderichsen syndrome,2025-09-12
A392,Acute meningococcaemia,2025-09-12
A393,Chronic meningococcaemia,2025-09-12
A394,"Meningococcaemia, unspecified",2025-09-12
A395,Meningococcal heart disease,2025-09-12
A398,Other meningococcal infections,2025-09-12
A399,"Meningococcal infection, unspecified",2025-09-12
A40,,2025-09-12
A400,"Sepsis due to streptococcus, group A",2025-09-12
A401,"Sepsis due to streptococcus, group B",2025-09-12
A402,"Sepsis due to streptococcus, group D and enterococcus",2025-09-12
A403,Sepsis due to Streptococcus pneumoniae,2025-09-12
A408,Other streptococcal sepsis,2025-09-12
A409,"Streptococcal sepsis, unspecified",2025-09-12
A41,,2025-09-12
A410,Sepsis due to Staphylococcus aureus,2025-09-12
A411,Sepsis due to other specified staphylococcus,2025-09-12
A412,Sepsis due to unspecified staphylococcus,2025-09-12
A413,Sepsis due to Haemophilus influenzae,2025-09-12
A414,Sepsis due to anaerobes,2025-09-12
A415,Sepsis due to other Gram-negative organisms,2025-09-12
A418,Other specified sepsis,2025-09-12
A419,"Sepsis, unspecified",2025-09-12
A42,,2025-09-12
A420,Pulmonary actinomycosis,2025-09-12
A421,Abdominal actinomycosis,2025-09-12
A422,Cervicofacial actinomycosis,2025-09-12
A427,Actinomycotic sepsis,2025-09-12
A428,Other forms of actinomycosis,2025-09-12
A429,"Actinomycosis, unspecified",2025-09-12
A43,,2025-09-12
A430,Pulmonary nocardiosis,2025-09-12
A431,Cutaneous nocardiosis,2025-09-12
A438,Other forms of nocardiosis,2025-09-12
A439,"Nocardiosis, unspecified",2025-09-12
A44,,2025-09-12
A440,Systemic bartonellosis,2025-09-12
A441,Cutaneous and mucocutaneous bartonellosis,2025-09-12
A448,Other forms of bartonellosis,2025-09-12
A449,"Bartonellosis, unspecified",2025-09-12
A46,,2025-09-12
A48,,2025-09-12
A480,Gas gangrene,2025-09-12
A481,Legionnaires disease,2025-09-12
A482,Nonpneumonic Legionnaires disease [Pontiac fever],2025-09-12
A483,Toxic shock syndrome,2025-09-12
A484,Brazilian purpuric fever,2025-09-12
A488,Other specified bacterial diseases,2025-09-12
A49,,2025-09-12
A490,"Staphylococcal infection, unspecified site",2025-09-12
A491,"Streptococcal and enterococcal infection, unspecified site",2025-09-12
A492,"Haemophilus influenzae infection, unspecified site",2025-09-12
A493,"Mycoplasma infection, unspecified site",2025-09-12
A498,Other bacterial infections of unspecified site,2025-09-12
A499,"Bacterial infection, unspecified",2025-09-12
A50,,2025-09-12
A500,"Early congenital syphilis, symptomatic",2025-09-12
A501,"Early congenital syphilis, latent",2025-09-12
A502,"Early congenital syphilis, unspecified",2025-09-12
A503,Late congenital syphilitic oculopathy,2025-09-12
A504,Late congenital neurosyphilis [juvenile neurosyphilis],2025-09-12
A505,"Other late congenital syphilis, symptomatic",2025-09-12
A506,"Late congenital syphilis, latent",2025-09-12
A507,"Late congenital syphilis, unspecified",2025-09-12
A509,"Congenital syphilis, unspecified",2025-09-12
A51,,2025-09-12
A510,Primary genital syphilis,2025-09-12
A511,Primary anal syphilis,2025-09-12
A512,Primary syphilis of other sites,2025-09-12
A513,Secondary syphilis of skin and mucous membranes,2025-09-12
A514,Other secondary syphilis,2025-09-12
A515,"Early syphilis, latent",2025-09-12
A519,"Early syphilis, unspecified",2025-09-12
A52,,2025-09-12
A520,Cardiovascular syphilis,2025-09-12
A521,Symptomatic neurosyphilis,2025-09-12
A522,Asymptomatic neurosyphilis,2025-09-12
A523,"Neurosyphilis, unspecified",2025-09-12
A527,Other symptomatic late syphilis,2025-09-12
A528,"Late syphilis, latent",2025-09-12
A529,"Late syphilis, unspecified",2025-09-12
A53,,2025-09-12
A530,"Latent syphilis, unspecified as early or late",2025-09-12
A539,"Syphilis, unspecified",2025-09-12
A54,,2025-09-12
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,2025-09-12
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,2025-09-12
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,2025-09-12
A543,Gonococcal infection of eye,2025-09-12
A544,Gonococcal infection of musculoskeletal system,2025-09-12
A545,Gonococcal pharyngitis,2025-09-12
A546,Gonococcal infection of anus and rectum,2025-09-12
A548,Other gonococcal infections,2025-09-12
A549,"Gonococcal infection, unspecified",2025-09-12
A55,,2025-09-12
A56,,2025-09-12
A560,Chlamydial infection of lower genitourinary tract,2025-09-12
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,2025-09-12
A562,"Chlamydial infection of genitourinary tract, unspecified",2025-09-12
A563,Chlamydial infection of anus and rectum,2025-09-12
A564,Chlamydial infection of pharynx,2025-09-12
A568,Sexually transmitted chlamydial infection of other sites,2025-09-12
A57,,2025-09-12
A58,,2025-09-12
A59,,2025-09-12
A590,Urogenital trichomoniasis,2025-09-12
A598,Trichomoniasis of other sites,2025-09-12
A599,"Trichomoniasis, unspecified",2025-09-12
A60,,2025-09-12
A600,Herpesviral infection of genitalia and urogenital tract,2025-09-12
A601,Herpesviral infection of perianal skin and rectum,2025-09-12
A609,"Anogenital herpesviral infection, unspecified",2025-09-12
A63,,2025-09-12
A630,Anogenital (venereal) warts,2025-09-12
A638,Other specified predominantly sexually transmitted diseases,2025-09-12
A64,,2025-09-12
A65,,2025-09-12
A66,,2025-09-12
A660,Initial lesions of yaws,2025-09-12
A661,Multiple papillomata and wet crab yaws,2025-09-12
A662,Other early skin lesions of yaws,2025-09-12
A663,Hyperkeratosis of yaws,2025-09-12
A664,Gummata and ulcers of yaws,2025-09-12
A665,Gangosa,2025-09-12
A666,Bone and joint lesions of yaws,2025-09-12
A667,Other manifestations of yaws,2025-09-12
A668,Latent yaws,2025-09-12
A669,"Yaws, unspecified",2025-09-12
A67,,2025-09-12
A670,Primary lesions of pinta,2025-09-12
A671,Intermediate lesions of pinta,2025-09-12
A672,Late lesions of pinta,2025-09-12
A673,Mixed lesions of pinta,2025-09-12
A679,"Pinta, unspecified",2025-09-12
A68,,2025-09-12
A680,Louse-borne relapsing fever,2025-09-12
A681,Tick-borne relapsing fever,2025-09-12
A689,"Relapsing fever, unspecified",2025-09-12
A69,,2025-09-12
A690,Necrotizing ulcerative stomatitis,2025-09-12
A691,Other Vincent infections,2025-09-12
A692,Lyme disease,2025-09-12
A698,Other specified spirochaetal infections,2025-09-12
A699,"Spirochaetal infection, unspecified",2025-09-12
A70,,2025-09-12
A71,,2025-09-12
A710,Initial stage of trachoma,2025-09-12
A711,Active stage of trachoma,2025-09-12
A719,"Trachoma, unspecified",2025-09-12
A74,,2025-09-12
A740,Chlamydial conjunctivitis,2025-09-12
A748,Other chlamydial diseases,2025-09-12
A749,"Chlamydial infection, unspecified",2025-09-12
A75,,2025-09-12
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,2025-09-12
A751,Recrudescent typhus [Brill disease],2025-09-12
A752,Typhus fever due to Rickettsia typhi,2025-09-12
A753,Typhus fever due to Rickettsia tsutsugamushi,2025-09-12
A759,"Typhus fever, unspecified",2025-09-12
A77,,2025-09-12
A770,Spotted fever due to Rickettsia rickettsii,2025-09-12
A771,Spotted fever due to Rickettsia conorii,2025-09-12
A772,Spotted fever due to Rickettsia sibirica,2025-09-12
A773,Spotted fever due to Rickettsia australis,2025-09-12
A778,Other spotted fevers,2025-09-12
A779,"Spotted fever, unspecified",2025-09-12
A78,,2025-09-12
A79,,2025-09-12
A790,Trench fever,2025-09-12
A791,Rickettsialpox due to Rickettsia akari,2025-09-12
A798,Other specified rickettsioses,2025-09-12
A799,"Rickettsiosis, unspecified",2025-09-12
A80,,2025-09-12
A800,"Acute paralytic poliomyelitis, vaccine-associated",2025-09-12
A801,"Acute paralytic poliomyelitis, wild virus, imported",2025-09-12
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",2025-09-12
A803,"Acute paralytic poliomyelitis, other and unspecified",2025-09-12
A804,Acute nonparalytic poliomyelitis,2025-09-12
A809,"Acute poliomyelitis, unspecified",2025-09-12
A81,,2025-09-12
A810,Creutzfeldt-Jakob disease,2025-09-12
A811,Subacute sclerosing panencephalitis,2025-09-12
A812,Progressive multifocal leukoencephalopathy,2025-09-12
A818,Other atypical virus infections of central nervous system,2025-09-12
A819,"Atypical virus infection of central nervous system, unspecified",2025-09-12
A82,,2025-09-12
A820,Sylvatic rabies,2025-09-12
A821,Urban rabies,2025-09-12
A829,"Rabies, unspecified",2025-09-12
A83,,2025-09-12
A830,Japanese encephalitis,2025-09-12
A831,Western equine encephalitis,2025-09-12
A832,Eastern equine encephalitis,2025-09-12
A833,St Louis encephalitis,2025-09-12
A834,Australian encephalitis,2025-09-12
A835,California encephalitis,2025-09-12
A836,Rocio virus disease,2025-09-12
A838,Other mosquito-borne viral encephalitis,2025-09-12
A839,"Mosquito-borne viral encephalitis, unspecified",2025-09-12
A84,,2025-09-12
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],2025-09-12
A841,Central European tick-borne encephalitis,2025-09-12
A848,Other tick-borne viral encephalitis,2025-09-12
A849,"Tick-borne viral encephalitis, unspecified",2025-09-12
A85,,2025-09-12
A850,Enteroviral encephalitis,2025-09-12
A851,Adenoviral encephalitis,2025-09-12
A852,"Arthropod-borne viral encephalitis, unspecified",2025-09-12
A858,Other specified viral encephalitis,2025-09-12
A86,,2025-09-12
A87,,2025-09-12
A870,Enteroviral meningitis,2025-09-12
A871,Adenoviral meningitis,2025-09-12
A872,Lymphocytic choriomeningitis,2025-09-12
A878,Other viral meningitis,2025-09-12
A879,"Viral meningitis, unspecified",2025-09-12
A88,,2025-09-12
A880,Enteroviral exanthematous fever [Boston exanthem],2025-09-12
A881,Epidemic vertigo,2025-09-12
A888,Other specified viral infections of central nervous system,2025-09-12
A89,,2025-09-12
A92,,2025-09-12
A920,Chikungunya virus disease,2025-09-12
A921,O'nyong-nyong fever,2025-09-12
A922,Venezuelan equine fever,2025-09-12
A923,West Nile virus infection,2025-09-12
A924,Rift Valley fever,2025-09-12
A925,Zika virus disease,2025-09-12
A928,Other specified mosquito-borne viral fevers,2025-09-12
A929,"Mosquito-borne viral fever, unspecified",2025-09-12
A93,,2025-09-12
A930,Oropouche virus disease,2025-09-12
A931,Sandfly fever,2025-09-12
A932,Colorado tick fever,2025-09-12
A938,Other specified arthropod-borne viral fevers,2025-09-12
A94,,2025-09-12
A95,,2025-09-12
A950,Sylvatic yellow fever,2025-09-12
A951,Urban yellow fever,2025-09-12
A959,"Yellow fever, unspecified",2025-09-12
A96,,2025-09-12
A960,Junin haemorrhagic fever,2025-09-12
A961,Machupo haemorrhagic fever,2025-09-12
A962,Lassa fever,2025-09-12
A968,Other arenaviral haemorrhagic fevers,2025-09-12
A969,"Arenaviral haemorrhagic fever, unspecified",2025-09-12
A97,,2025-09-12
A970,Dengue without warning signs,2025-09-12
A971,Dengue with warning signs,2025-09-12
A972,Severe Dengue,2025-09-12
A979,"Dengue, unspecified",2025-09-12
A98,,2025-09-12
A980,Crimean-Congo haemorrhagic fever,2025-09-12
A981,Omsk haemorrhagic fever,2025-09-12
A982,Kyasanur Forest disease,2025-09-12
A983,Marburg virus disease,2025-09-12
A984,Ebola virus disease,2025-09-12
A985,Haemorrhagic fever with renal syndrome,2025-09-12
A988,Other specified viral haemorrhagic fevers,2025-09-12
A99,,2025-09-12
B00,,2025-09-12
B000,Eczema herpeticum,2025-09-12
B001,Herpesviral vesicular dermatitis,2025-09-12
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,2025-09-12
B003,Herpesviral meningitis,2025-09-12
B004,Herpesviral encephalitis,2025-09-12
B005,Herpesviral ocular disease,2025-09-12
B007,Disseminated herpesviral disease,2025-09-12
B008,Other forms of herpesviral infection,2025-09-12
B009,"Herpesviral infection, unspecified",2025-09-12
B01,,2025-09-12
B010,Varicella meningitis,2025-09-12
B011,Varicella encephalitis,2025-09-12
B012,Varicella pneumonia,2025-09-12
B018,Varicella with other complications,2025-09-12
B019,Varicella without complication,2025-09-12
B02,,2025-09-12
B020,Zoster encephalitis,2025-09-12
B021,Zoster meningitis,2025-09-12
B022,Zoster with other nervous system involvement,2025-09-12
B023,Zoster ocular disease,2025-09-12
B027,Disseminated zoster,2025-09-12
B028,Zoster with other complications,2025-09-12
B029,Zoster without complication,2025-09-12
B03,,2025-09-12
B04,,2025-09-12
B05,,2025-09-12
B050,Measles complicated by encephalitis,2025-09-12
B051,Measles complicated by meningitis,2025-09-12
B052,Measles complicated by pneumonia,2025-09-12
B053,Measles complicated by otitis media,2025-09-12
B054,Measles with intestinal complications,2025-09-12
B058,Measles with other complications,2025-09-12
B059,Measles without complication,2025-09-12
B06,,2025-09-12
B060,Rubella with neurological complications,2025-09-12
B068,Rubella with other complications,2025-09-12
B069,Rubella without complication,2025-09-12
B07,,2025-09-12
B08,,2025-09-12
B080,Other orthopoxvirus infections,2025-09-12
B081,Molluscum contagiosum,2025-09-12
B082,Exanthema subitum [sixth disease],2025-09-12
B083,Erythema infectiosum [fifth disease],2025-09-12
B084,Enteroviral vesicular stomatitis with exanthem,2025-09-12
B085,Enteroviral vesicular pharyngitis,2025-09-12
B088,Other specified viral infections characterized by skin and mucous membrane lesions,2025-09-12
B09,,2025-09-12
B15,,2025-09-12
B150,Hepatitis A with hepatic coma,2025-09-12
B159,Hepatitis A without hepatic coma,2025-09-12
B16,,2025-09-12
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,2025-09-12
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,2025-09-12
B162,Acute hepatitis B without delta-agent with hepatic coma,2025-09-12
B169,Acute hepatitis B without delta-agent and without hepatic coma,2025-09-12
B17,,2025-09-12
B170,Acute delta-(super)infection in chronic hepatitis B,2025-09-12
B171,Acute hepatitis C,2025-09-12
B172,Acute hepatitis E,2025-09-12
B178,Other specified acute viral hepatitis,2025-09-12
B179,"Acute viral hepatitis, unspecified",2025-09-12
B18,,2025-09-12
B180,Chronic viral hepatitis B with delta-agent,2025-09-12
B1800,Chronic viral hepatitis B with delta-agent,2025-09-12
B1809,Chronic viral hepatitis B with delta-agent,2025-09-12
B181,Chronic viral hepatitis B without delta-agent,2025-09-12
B1810,Chronic viral hepatitis B without delta-agent,2025-09-12
B1819,Chronic viral hepatitis B without delta-agent,2025-09-12
B182,Chronic viral hepatitis C,2025-09-12
B188,Other chronic viral hepatitis,2025-09-12
B189,"Chronic viral hepatitis, unspecified",2025-09-12
B19,,2025-09-12
B190,Unspecified viral hepatitis with hepatic coma,2025-09-12
B199,Unspecified viral hepatitis without hepatic coma,2025-09-12
B20,,2025-09-12
B200,HIV disease resulting in mycobacterial infection,2025-09-12
B201,HIV disease resulting in other bacterial infections,2025-09-12
B202,HIV disease resulting in cytomegaloviral disease,2025-09-12
B203,HIV disease resulting in other viral infections,2025-09-12
B204,HIV disease resulting in candidiasis,2025-09-12
B205,HIV disease resulting in other mycoses,2025-09-12
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,2025-09-12
B207,HIV disease resulting in multiple infections,2025-09-12
B208,HIV disease resulting in other infectious and parasitic diseases,2025-09-12
B209,HIV disease resulting in unspecified infectious or parasitic disease,2025-09-12
B21,,2025-09-12
B210,HIV disease resulting in Kaposi sarcoma,2025-09-12
B211,HIV disease resulting in Burkitt lymphoma,2025-09-12
B212,HIV disease resulting in other types of non-Hodgkin lymphoma,2025-09-12
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",2025-09-12
B217,HIV disease resulting in multiple malignant neoplasms,2025-09-12
B218,HIV disease resulting in other malignant neoplasms,2025-09-12
B219,HIV disease resulting in unspecified malignant neoplasm,2025-09-12
B22,,2025-09-12
B220,HIV disease resulting in encephalopathy,2025-09-12
B221,HIV disease resulting in lymphoid interstitial pneumonitis,2025-09-12
B222,HIV disease resulting in wasting syndrome,2025-09-12
B227,HIV disease resulting in multiple diseases classified elsewhere,2025-09-12
B23,,2025-09-12
B230,Acute HIV infection syndrome,2025-09-12
B231,HIV disease resulting in (persistent) generalized lymphadenopathy,2025-09-12
B232,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",2025-09-12
B238,HIV disease resulting in other specified conditions,2025-09-12
B24,,2025-09-12
B25,,2025-09-12
B250,Cytomegaloviral pneumonitis,2025-09-12
B251,Cytomegaloviral hepatitis,2025-09-12
B252,Cytomegaloviral pancreatitis,2025-09-12
B258,Other cytomegaloviral diseases,2025-09-12
B259,"Cytomegaloviral disease, unspecified",2025-09-12
B26,,2025-09-12
B260,Mumps orchitis,2025-09-12
B261,Mumps meningitis,2025-09-12
B262,Mumps encephalitis,2025-09-12
B263,Mumps pancreatitis,2025-09-12
B268,Mumps with other complications,2025-09-12
B269,Mumps without complication,2025-09-12
B27,,2025-09-12
B270,Gammaherpesviral mononucleosis,2025-09-12
B271,Cytomegaloviral mononucleosis,2025-09-12
B278,Other infectious mononucleosis,2025-09-12
B279,"Infectious mononucleosis, unspecified",2025-09-12
B30,,2025-09-12
B300,Keratoconjunctivitis due to adenovirus,2025-09-12
B301,Conjunctivitis due to adenovirus,2025-09-12
B302,Viral pharyngoconjunctivitis,2025-09-12
B303,Acute epidemic haemorrhagic conjunctivitis (enteroviral),2025-09-12
B308,Other viral conjunctivitis,2025-09-12
B309,"Viral conjunctivitis, unspecified",2025-09-12
B33,,2025-09-12
B330,Epidemic myalgia,2025-09-12
B331,Ross River disease,2025-09-12
B332,Viral carditis,2025-09-12
B333,"Retrovirus infections, not elsewhere classified",2025-09-12
B334,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS],2025-09-12
B338,Other specified viral diseases,2025-09-12
B34,,2025-09-12
B340,"Adenovirus infection, unspecified site",2025-09-12
B341,"Enterovirus infection, unspecified site",2025-09-12
B342,"Coronavirus infection, unspecified site",2025-09-12
B343,"Parvovirus infection, unspecified site",2025-09-12
B344,"Papovavirus infection, unspecified site",2025-09-12
B348,Other viral infections of unspecified site,2025-09-12
B349,"Viral infection, unspecified",2025-09-12
B35,,2025-09-12
B350,Tinea barbae and tinea capitis,2025-09-12
B351,Tinea unguium,2025-09-12
B352,Tinea manuum,2025-09-12
B353,Tinea pedis,2025-09-12
B354,Tinea corporis,2025-09-12
B355,Tinea imbricata,2025-09-12
